zone_code,lead,target_month,cluster,xgb_pred,rf_pred
ET0501,4,2026-10,pastoral,2.346334812405105,2.454701918957858
ET0503,4,2026-10,pastoral,2.8216818218943343,2.8129410455497954
ET0504,4,2026-10,pastoral,2.7610460851891845,2.7986441961795325
ET0505,4,2026-10,pastoral,2.7891745391784117,2.7832112143935817
ET0506,4,2026-10,pastoral,2.7220854346231147,2.6750313025787205
ET0507,4,2026-10,pastoral,2.82167261838913,2.8394333816620136
ET0508,4,2026-10,pastoral,2.750365225336869,2.741376941215975
ET0509,4,2026-10,pastoral,2.682463515643736,2.6159983312545108
ET0510,4,2026-10,pastoral,2.83189298457636,2.858054977884474
ET0511,4,2026-10,pastoral,2.5674992008357593,2.672643469950746
ET0410,4,2026-10,agropastoral,2.061260697431308,1.9174729520976923
ET0502,4,2026-10,agropastoral,1.5776410876015166,1.668004146074688
ET0707,4,2026-10,agropastoral,1.7758532189850054,1.6844572821353654
ET0712,4,2026-10,agropastoral,2.447823350198361,2.252721218215811
ET1201,4,2026-10,agropastoral,0.993327162694186,1.0392443211567552
